,0
0,Mile
1,Nanard
2,Zero
3,Punisher[BIA]
4,Tole[BiA]
5,KostasGamer
6,RasaDeDam
7,Johnny
8,YourMaster
9,Skywalker
10,Dimi
11,ViperX
12,Usagi
13,Gonzalez
14,NearchosCretan
15,martis
16,Lauri01
17,John[BIA]
18,Luanmh
19,Imbalance
20,Mo
21,Sclembi
22,Mauser
23,seedorf
24,WJarvis
25,Andjela
26,Miletic
27,Vlad
28,Kofeina[BIA]
29,Poison
30,Feather
31,Bovan
32,Djordje
33,Yotza
34,tootee
35,Kaczomen
36,Louis_Bolgarov
37,Dr
38,Chewie
39,Orbit
40,Psion
41,Rio
42,Mini
43,Murdock
44,gemon
45,Frenki
46,D0CTOR
47,Uni_Play
48,Lipe
49,Szarik
50,Abramusas
51,Heinrich
52,Flappy
53,cobe[BiA]
54,Aleksa
55,Spud
56,niceguyphil
57,Jason
58,JaneSRBRUS
59,Wolfmother
60,Bobi
61,Lazar
