,0
0,Zero
1,D0CTOR
2,Kofeina[BIA]
3,gemon
4,Nanard
5,John[BiA]
6,Davidaf
7,Punisher[BIA]
8,martis
9,Skywalker
10,Poison
11,Luanmh
12,Mauser
13,Carlitos
14,BreadKing
15,KostasGamer
16,Djordje
17,ViperX
18,!Dayron
19,Uni_Play
20,Tole[BiA]
21,Sclembi
22,NearchosCretan
23,Kaczomen
24,RasaDeDam
25,Miletic
26,Funy
27,Frenki
28,Vlad
29,Imbalance
30,Usagi
31,Kru[BiA]
32,Mile
33,José
34,Chewie
35,Burger[BiA]
36,Bobi
37,Xente
38,Lipe
39,Flappy
40,Monika
41,Johnny
42,Aleksa
43,Orbit
44,Jason
45,Abramusas
46,Andjela
47,cobe[BiA]
48,Bovan
49,WJarvis
50,Feather
51,Igor
52,Dr
53,Murdock
54,tootee
55,Lord[BiA]
56,Heinrich
57,JaneSRBRUS
58,Psion
59,Blackshadow
60,niceguyphil
61,Gillette
62,Yotza
63,Aris[BIA]
64,Spud
65,Tony
66,seedorf
67,Zex
68,Wolfmother
69,Lazar
70,Mo
