,0
0,D0CTOR
1,John
2,Bugs_Bunny
3,Wolfmother
4,Exillius
5,Nanard
6,Bismark
7,Thasylea
8,Tole
9,Bobi
10,Murdock
11,Luanmh
12,YourDoctor
13,Szarik
14,W.Jarvis
15,Imbalance
16,NearchosCretan
17,Scott
18,Kofeina
19,Jason
20,Louis_Bolgarov
21,VOLKER
22,martis
23,RasaDeDam
24,Rio
25,Chewie
26,Uni_Play
27,Zero
28,Anctus
29,Punisher
30,Chak
31,Skywalker
32,niceguyphil
33,Gillette
34,Mini
35,seedorf
36,Orbit
37,Usagi
38,Kaczomen
39,Zvuk
40,KostasGamer
41,Sclembi
42,Abramusas
43,Miletic
44,Bovan
45,Feather
46,Blackshadow
47,Spud
48,Zex
49,Burger
50,Pavlovic
51,fresh_ziomal
52,Heinrich
53,Dimi
54,Lexus
55,Flappy
56,Magnum
57,Psion
58,cloak
59,Lazar
