,0
0,TPeters
1,Szopix
2,Turtright
3,Burger
4,Usagi
5,X. Piotr
6,SFC
7,Hunter
8,Abramusas
9,YourDoctor
10,RasaDeDam
11,PV2
12,Sebastian
13,Anctus
14,Cpl
15,Skywalker
16,Exillius
17,Combat
18,Gillette
19,Ergones
20,CW5
21,CPLK
22,Rexma
23,Sgt
24,Sclembi
25,T1MOROS
26,Imbalance
27,SSGKilgore[2-7]
28,Xente
29,LCpL
30,BLoODiCa
31,BLoODiCa
32,T/5
33,MKarrasch
34,Morskin
35,SPC
36,Uni_Play
37,Kofeina
38,SSgt
39,Jerry
40,Scharf
41,Atke
42,Lexus
43,Cheeto
44,Bulia
45,Speedking
46,Davidaf
47,Gangalore
48,Malekif
49,Aladar
50,2LT
51,The
52,SSG
53,Patch
54,Lord
55,Maj
56,GGanzer
57,Bismark
58,Tomcat
59,Mini
60,Estefan
61,Malkav-X
62,Murdock
63,Magnum
64,Lightning
65,TheApache
66,Aref
67,Sirius
68,Benjamin
69,BadNews
70,San
71,Blind[HTU]
72,Aris
73,Luanmh
74,Mo
75,Nebula
76,Chewie
77,CW4
78,Kaczomen
79,Soap
80,Carlitos
81,Miletic
82,Bobi
83,Berkin
84,Sarkness
85,seedorf
86,Winterite
87,Bovan
88,John
89,Psion
90,Punisher
91,Brock
92,+=
93,Angle
94,LCpl
95,Zex
96,Orbit
97,Tole
98,niceguyphil
99,raaaul
100,Chak
101,cobe
102,Funy
103,Bruni
104,W.Jarvis
105,Hampter
106,Kiarand
107,fresh_ziomal
108,Bio
109,Yotza
110,Beans
111,Sebo
112,Heinrich[BiA[
113,Fubar
114,Agu
115,LooNeY
