,0
0,Szopix
1,Turtright
2,T1MOROS
3,Kofeina
4,Skywalker
5,Berkin
6,Bovan
7,Bulia
8,Punisher
9,D0CTOR
10,Rexma
11,Hampter
12,Lazar
13,Bobi
14,YourDoctor
15,Ske
16,Miletic
17,KillerCake
18,Spud
19,Hunter
20,Murdock
21,Zero
22,CombatWombat
23,Johnny
24,John
25,Patch
26,Luanmh
27,Mini
28,Exillius
29,Sclembi
30,Henki
31,RasaDeDam
32,Anctus
33,Nebula
34,SpeedKing
35,Kloak
36,fresh_ziomal
37,Tole
38,Heinrich
39,Lexus
40,Micki
41,Blind[HTU]
42,angle
43,Psion
44,Mo
45,BLoODiCa
46,Sebastian
47,LooNeY
48,Kaczomen
49,+=
50,niceguyphil
51,Chewie
52,Malkav-X
53,HansWerfer
54,Zvuk
55,Orbit
56,Magnum
57,Gillette
58,Darius
59,Okelot
60,W.Jarvis
61,Vlay
62,Burger
63,Scharf
64,Bio
65,GGanzer
66,Flappy
67,Loshmi
68,BadNews
69,Zex
70,Blackshadow
71,Abramusas
72,Bismark
73,ALEX
74,Chak
75,Kakta
76,Priestess
77,Jois
78,Fubar
