,0
0,gemon
1,Kaczomen
2,Aleksa
3,Murdock
4,Bifixd
5,Kru
6,Seedorf
7,Seedorf
8,Mo
9,Martis
10,Istan
11,Mile
12,Xente
13,Strale
14,D0CTOR
15,Zero
16,Johnny
17,Imbalance
18,ViperX[BiA]
19,Kofeina[BIA]
20,Abramusas
21,Royal_P3ter
22,WJarvis
23,Andjelaa
24,Vlad
25,Blackshadow
26,Skywalker
27,Szarik
28,niceguyphil
29,Darius
30,Orbit
31,veimiK
32,I
33,Igor
34,Heinrich[BIA]
35,Burger[BiA]
36,Dimi
37,Sclembi
38,Bobi[BiA]
39,José
40,Monika
41,Davidaf
42,Uni_Play
43,Usagi
44,Michalox
45,Sale
46,Miletic
47,Spud
48,Jason
49,Gillette
50,Enzoo
51,Glenn
52,tootee
53,Funy
54,Yotza
55,Zex
56,Psion
57,Bovan
58,Duke[BIA]
59,Krnja
60,cobe[BiA]
61,Mauser
