,0
0,W.Jarvis
1,Bovan
2,Heinrich
3,Sam.
4,Johnny
5,Lipe
6,Arin
7,Glenn
8,Nanard
9,Galicien
10,Louis_Bolgarov
11,Chewie
12,Sclembi
13,Jack
14,REVCREW
15,Spud
16,Skywalker
17,Mile
18,Bobi
19,JaneSRBRUS
20,Dr. Lexus
21,Abramusas
22,Mauser
23,jason
24,Miletic
25,Usagi
26,Tole
27,Blue
28,Cobe
29,Andjelaa
30,AMERIKANAC
31,Strale
32,Krnja
33,Burger
34,UniPlay
35,Djordje
36,RasaDeDam
37,Viper
38,niceguyphil
39,Igor
40,Feather
41,Enzoo
42,Kowalski
43,Soul
44,Imbalance
45,Bluesamurai
46,KostasGamer
47,Gillette
48,Kru.
49,Orbit
50,Vlad
51,Kerber
52,veimiK
53,Murdock
54,Gemon
55,Mihnea
56,Tootee
57,Seedorf
58,Poison
59,Kofeina
60,Zero
61,Kaczomen
62,Szarik
