,0
0,Frenki
1,Bovan
2,Usagi
3,Doctor
4,Feather
5,Enzoo
6,Tole
7,Chewie
8,Viper
9,Rio.
10,Lipe
11,Vlad
12,Strale
13,Heinrich
14,UniPlay
15,Spud
16,Wolfmother
17,Murdock
18,Johnny
19,Djordje
20,jason
21,Tootee
22,Mile
23,Gillette
24,Danny
25,Krnja
26,Gemon
27,Kowalski
28,Abramusas
29,Flappy
30,Soul
31,Mauser
32,Dr. Lexus
33,Sam.
34,Cobe
35,Miletic
36,Andjelaa
37,Blackshadow
38,Arin
39,veimiK
40,Aris
41,Kofeina
42,niceguyphil
43,Poison
44,Glenn
45,Lord
46,Sclembi
47,RasaDeDam
48,Skywalker
49,Martis
50,Bobi
51,Mo
52,Burger
53,Zex
54,W.Jarvis
55,Imbalance
56,Bluesamurai
57,Archer
58,A.Fletcher
59,Zero
60,Kaczomen
61,Szarik
62,JaneSRBRUS
63,Jox
64,Seedorf
65,Kru.
66,Igor
67,Orbit
