,0
0,Bovan
1,Sclembi
2,Chewie
3,Bismark
4,W.Jarvis
5,RasaDeDam
6,Bobi
7,Skywalker
8,Feather
9,YourDoctor
10,Zvuk
11,Yotza
12,Gillette
13,Cobe
14,angle
15,Anctus
16,Tiwaz
17,Joker
18,Mo
19,Nebula
20,Abramusas
21,Patch
22,Spud_2137
23,Heinrich
24,Combat
25,Turtright
26,Gganzer
27,Bugs_Bunny
28,Johnny
29,Miletic
30,Burger
31,Psion
32,Louis_Bolgarov
33,Lexus
34,Usagi
35,Apostolis
36,BioXBattle
37,Lord
38,Aris
39,Berkin
40,Mini
41,Exillius
42,Zero
43,Kaczomen
44,Luanmh
45,Imbalance
46,bulia
47,John
48,fresh_ziomal
49,Zex
50,Magnum
51,Kofeina
52,Punisher
53,Murdock
54,Chak
55,niceguyphil
56,Spud
